Country Name,Country Code,Series Name,Series Code,Year,Value,Unit
Afghanistan,AFG,"Access to clean fuels and technologies for cooking, rural",EG.CFT.ACCS.RU.ZS,2018,14.5,% of rural population
Afghanistan,AFG,"Access to clean fuels and technologies for cooking, rural",EG.CFT.ACCS.RU.ZS,2019,15.6,% of rural population
Afghanistan,AFG,"Access to clean fuels and technologies for cooking, rural",EG.CFT.ACCS.RU.ZS,2020,16.4,% of rural population
Afghanistan,AFG,"Access to clean fuels and technologies for cooking, rural",EG.CFT.ACCS.RU.ZS,2021,17.4,% of rural population
Afghanistan,AFG,"Access to clean fuels and technologies for cooking, rural",EG.CFT.ACCS.RU.ZS,2022,18.5,% of rural population
Afghanistan,AFG,"Access to clean fuels and technologies for cooking, rural",EG.CFT.ACCS.RU.ZS,2023,..,% of rural population
Afghanistan,AFG,"Access to clean fuels and technologies for cooking, rural",EG.CFT.ACCS.RU.ZS,2024,..,% of rural population
Afghanistan,AFG,Access to clean fuels and technologies for cooking,EG.CFT.ACCS.ZS,2018,31.4,% of population
Afghanistan,AFG,Access to clean fuels and technologies for cooking,EG.CFT.ACCS.ZS,2019,32.6,% of population
Afghanistan,AFG,Access to clean fuels and technologies for cooking,EG.CFT.ACCS.ZS,2020,33.8,% of population
Afghanistan,AFG,Access to clean fuels and technologies for cooking,EG.CFT.ACCS.ZS,2021,34.9,% of population
Afghanistan,AFG,Access to clean fuels and technologies for cooking,EG.CFT.ACCS.ZS,2022,36.1,% of population
Afghanistan,AFG,Access to clean fuels and technologies for cooking,EG.CFT.ACCS.ZS,2023,..,% of population
Afghanistan,AFG,Access to clean fuels and technologies for cooking,EG.CFT.ACCS.ZS,2024,..,% of population
Afghanistan,AFG,"Access to clean fuels and technologies for cooking, urban",EG.CFT.ACCS.UR.ZS,2018,82.6,% of urban population
Afghanistan,AFG,"Access to clean fuels and technologies for cooking, urban",EG.CFT.ACCS.UR.ZS,2019,83.2,% of urban population
Afghanistan,AFG,"Access to clean fuels and technologies for cooking, urban",EG.CFT.ACCS.UR.ZS,2020,83.8,% of urban population
Afghanistan,AFG,"Access to clean fuels and technologies for cooking, urban",EG.CFT.ACCS.UR.ZS,2021,84.5,% of urban population
Afghanistan,AFG,"Access to clean fuels and technologies for cooking, urban",EG.CFT.ACCS.UR.ZS,2022,85,% of urban population
Afghanistan,AFG,"Access to clean fuels and technologies for cooking, urban",EG.CFT.ACCS.UR.ZS,2023,..,% of urban population
Afghanistan,AFG,"Access to clean fuels and technologies for cooking, urban",EG.CFT.ACCS.UR.ZS,2024,..,% of urban population
Afghanistan,AFG,Access to electricity,EG.ELC.ACCS.ZS,2018,93.4,% of population
Afghanistan,AFG,Access to electricity,EG.ELC.ACCS.ZS,2019,97.7,% of population
Afghanistan,AFG,Access to electricity,EG.ELC.ACCS.ZS,2020,97.7,% of population
Afghanistan,AFG,Access to electricity,EG.ELC.ACCS.ZS,2021,97.7,% of population
Afghanistan,AFG,Access to electricity,EG.ELC.ACCS.ZS,2022,85.3,% of population
Afghanistan,AFG,Access to electricity,EG.ELC.ACCS.ZS,2023,85.3,% of population
Afghanistan,AFG,Access to electricity,EG.ELC.ACCS.ZS,2024,..,% of population
Afghanistan,AFG,"Access to electricity, rural",EG.ELC.ACCS.RU.ZS,2018,91.6,% of rural population
Afghanistan,AFG,"Access to electricity, rural",EG.ELC.ACCS.RU.ZS,2019,97.1,% of rural population
Afghanistan,AFG,"Access to electricity, rural",EG.ELC.ACCS.RU.ZS,2020,97.1,% of rural population
Afghanistan,AFG,"Access to electricity, rural",EG.ELC.ACCS.RU.ZS,2021,97.1,% of rural population
Afghanistan,AFG,"Access to electricity, rural",EG.ELC.ACCS.RU.ZS,2022,81.7,% of rural population
Afghanistan,AFG,"Access to electricity, rural",EG.ELC.ACCS.RU.ZS,2023,81.4,% of rural population
Afghanistan,AFG,"Access to electricity, rural",EG.ELC.ACCS.RU.ZS,2024,..,% of rural population
Afghanistan,AFG,"Access to electricity, urban",EG.ELC.ACCS.UR.ZS,2018,98.8,% of urban population
Afghanistan,AFG,"Access to electricity, urban",EG.ELC.ACCS.UR.ZS,2019,99.5,% of urban population
Afghanistan,AFG,"Access to electricity, urban",EG.ELC.ACCS.UR.ZS,2020,99.5,% of urban population
Afghanistan,AFG,"Access to electricity, urban",EG.ELC.ACCS.UR.ZS,2021,99.5,% of urban population
Afghanistan,AFG,"Access to electricity, urban",EG.ELC.ACCS.UR.ZS,2022,95.9,% of urban population
Afghanistan,AFG,"Access to electricity, urban",EG.ELC.ACCS.UR.ZS,2023,96,% of urban population
Afghanistan,AFG,"Access to electricity, urban",EG.ELC.ACCS.UR.ZS,2024,..,% of urban population
Afghanistan,AFG,Account ownership at a financial institution or with a mobile-money-service provider,FX.OWN.TOTL.ZS,2018,..,% of population ages 15+
Afghanistan,AFG,Account ownership at a financial institution or with a mobile-money-service provider,FX.OWN.TOTL.ZS,2019,..,% of population ages 15+
Afghanistan,AFG,Account ownership at a financial institution or with a mobile-money-service provider,FX.OWN.TOTL.ZS,2020,..,% of population ages 15+
Afghanistan,AFG,Account ownership at a financial institution or with a mobile-money-service provider,FX.OWN.TOTL.ZS,2021,9.65,% of population ages 15+
Afghanistan,AFG,Account ownership at a financial institution or with a mobile-money-service provider,FX.OWN.TOTL.ZS,2022,..,% of population ages 15+
Afghanistan,AFG,Account ownership at a financial institution or with a mobile-money-service provider,FX.OWN.TOTL.ZS,2023,..,% of population ages 15+
Afghanistan,AFG,Account ownership at a financial institution or with a mobile-money-service provider,FX.OWN.TOTL.ZS,2024,..,% of population ages 15+
Afghanistan,AFG,"Account ownership at a financial institution or with a mobile-money-service provider, female",FX.OWN.TOTL.FE.ZS,2018,..,% of population ages 15+
Afghanistan,AFG,"Account ownership at a financial institution or with a mobile-money-service provider, female",FX.OWN.TOTL.FE.ZS,2019,..,% of population ages 15+
