"movieId","title","genres"
182337,"Cinétracts (1968)","(no genres listed)"
195495,"Familia (2005)","Drama"
3078,"Liberty Heights (1999)","Drama"
134704,"Comedy Central Roast of Charlie Sheen (2011)","Comedy"
219976,"47 Hours to Live (2019)","Horror|Thriller"
205715,"Reis (2017)","(no genres listed)"
169206,"Through the Air (2015)","Drama"
211986,"A Raunchy Christmas Story (2018)","Comedy"
171387,"Çalgı Çengi (2011)","Comedy"
31930,"Masculin Féminin (1966)","Drama"
198189,"Viper Club (2018)","Drama|Thriller"
183321,"The Song of Lunch (2010)","Drama"
73449,"V.I.P.s, The (1963)","Drama"
80214,"Swan and the Wanderer, The (Kulkuri ja joutsen) (1999)","Drama"
128265,"The Stranger Wore a Gun (1953)","Action|Western"
27087,"The Sinners of Hell (1960)","Drama|Horror"
136102,"Costa Azzurra (1959)","(no genres listed)"
192043,"Red Cow (2018)","Drama"
8699,"Dancing in September (2000)","Drama"
69964,"Giant of Marathon, The (Battaglia di Maratona, La) (1959)","Action|Drama|War"
6326,"City of Ghosts (2002)","Crime|Drama|Thriller"
279808,"The Grab (2022)","Documentary"
133547,"El bosque de Karadima (2015)","Drama"
185653,"WWE: The Top 25 Rivalries in Wrestling History (2013)","(no genres listed)"
132309,"Without a Trace (1983)","Drama|Mystery"
41,"Richard III (1995)","Drama|War"
75395,"Frozen (2010)","Drama|Horror|Thriller"
236141,"American Skin (2021)","Drama"
182323,"Mum's Guest (Mehman-e Maman) (2004)","(no genres listed)"
196889,"Glass (2019)","Drama|Horror|Mystery|Sci-Fi|Thriller"
255581,"Rent (2019)","Drama"
164183,"Terminal Invasion (2002)","Horror|Sci-Fi|Thriller"
259741,"Rememberer (2017)","(no genres listed)"
6244,"Salaam Bombay! (1988)","Drama"
142801,"Alice in Earnestland (2015)","(no genres listed)"
112332,"Caprice (1967)","Comedy|Crime|Thriller"
157387,"Paradox (2016)","Action|Sci-Fi"
31923,"Three Musketeers, The (1973)","Action|Adventure|Comedy"
284601,"Uman – The Perfect Man (2022)","Comedy"
27746,"Ginger Snaps: Unleashed (2004)","Horror|Thriller"
126044,"Brutal Relax (2010)","Action|Comedy"
108313,"Dirty Pictures (2000)","Drama"
74857,"Strategic Air Command (1955)","Action|Drama"
210481,"When the Greeks (1981)","Adventure|Drama|War"
230547,"Easter Under Wraps (2019)","Romance"
168816,"Different Drummers (2013)","Children|Drama"
258573,"Woodlands Dark and Days Bewitched: A History of Folk Horror (2021)","Documentary"
270746,"The Privilege (2022)","Horror"
227086,"Eva (1948)","Drama"
140765,"Carl Panzram: The Spirit of Hatred and Revenge (2012)","(no genres listed)"
85278,"City of Your Final Destination, The (2009)","Drama"
123900,"Safari 3000 (1982)","Action"
73664,"Dragon Hunters (Chasseurs de dragons) (2008)","Adventure|Animation|Children"
74141,"Holy Innocents, The (Santos inocentes, Los) (1984)","Drama"
117344,"Ragnarok (2013)","Action|Adventure"
146070,"Poshter Boyz (2014)","(no genres listed)"
76147,"I Hate Valentine's Day (2009)","Comedy|Romance"
278286,"Fuchzhou (1993)","Adventure|Comedy|Romance"
258571,"The Righteous (2021)","Drama|Horror"
158723,"Pom Pom (1984)","Action|Comedy"
145448,"Simone e Matteo: un gioco da ragazzi (1975)","Comedy"
287223,"Up, Down and Sideways (1992)","Comedy"
91071,"Late George Apley, The (1947)","Comedy"
138362,"A Special Day (2012)","Drama"
198133,"Road to Life (1931)","Drama"
289115,"Bunty Aur Babli 2 (2021)","Comedy|Crime|Drama"
158992,"The Captive City (1952)","Action|Drama"
164532,"Crossing Point (2016)","Action|Thriller"
152149,"Dionysus in '69 (1972)","(no genres listed)"
282117,"The Wish Tree (2008)","Comedy|Drama"
254504,"First Fall (2013)","Animation|Drama|Fantasy"
276035,"Zwei Nasen tanken Super (1984)","Comedy"
166659,"Libera Nos (2016)","(no genres listed)"
168314,"Be My Cat: A Film for Anne (2015)","Horror|Thriller"
150134,"Sous le signe de Monte Cristo (1968)","Adventure"
130634,"Furious 7 (2015)","Action|Crime|Thriller"
223432,"You Die (2018)","Drama|Horror|Thriller"
164945,"Brother Nature (2016)","Comedy"
160934,"El Extra (1962)","Comedy"
173531,"Recon 2020:  The Caprini Massacre (2004)","Action|Sci-Fi"
207952,"Getting Played (2005)","Comedy|Romance"
76736,"Grim Reaper (2007)","Horror"
278596,"From Subway with Love (2005)","Comedy|Romance"
