movieId,title,year,genres
195495,Familia,2005,Drama
3078,Liberty Heights,1999,Drama
134704,Comedy Central Roast of Charlie Sheen,2011,Comedy
219976,47 Hours to Live,2019,Horror
219976,47 Hours to Live,2019,Thriller
169206,Through the Air,2015,Drama
211986,A Raunchy Christmas Story,2018,Comedy
171387,Çalgı Çengi,2011,Comedy
31930,Masculin Féminin,1966,Drama
198189,Viper Club,2018,Drama
198189,Viper Club,2018,Thriller
183321,The Song of Lunch,2010,Drama
73449,"V.I.P.s, The",1963,Drama
80214,"Swan and the Wanderer, The (Kulkuri ja joutsen)",1999,Drama
128265,The Stranger Wore a Gun,1953,Action
128265,The Stranger Wore a Gun,1953,Western
27087,The Sinners of Hell,1960,Drama
27087,The Sinners of Hell,1960,Horror
192043,Red Cow,2018,Drama
8699,Dancing in September,2000,Drama
69964,"Giant of Marathon, The (Battaglia di Maratona, La)",1959,Action
69964,"Giant of Marathon, The (Battaglia di Maratona, La)",1959,Drama
69964,"Giant of Marathon, The (Battaglia di Maratona, La)",1959,War
6326,City of Ghosts,2002,Crime
6326,City of Ghosts,2002,Drama
6326,City of Ghosts,2002,Thriller
279808,The Grab,2022,Documentary
133547,El bosque de Karadima,2015,Drama
132309,Without a Trace,1983,Drama
132309,Without a Trace,1983,Mystery
41,Richard III,1995,Drama
41,Richard III,1995,War
75395,Frozen,2010,Drama
75395,Frozen,2010,Horror
75395,Frozen,2010,Thriller
236141,American Skin,2021,Drama
196889,Glass,2019,Drama
196889,Glass,2019,Horror
196889,Glass,2019,Mystery
196889,Glass,2019,Sci-Fi
196889,Glass,2019,Thriller
255581,Rent,2019,Drama
164183,Terminal Invasion,2002,Horror
164183,Terminal Invasion,2002,Sci-Fi
164183,Terminal Invasion,2002,Thriller
6244,Salaam Bombay!,1988,Drama
112332,Caprice,1967,Comedy
112332,Caprice,1967,Crime
112332,Caprice,1967,Thriller
157387,Paradox,2016,Action
157387,Paradox,2016,Sci-Fi
31923,"Three Musketeers, The",1973,Action
31923,"Three Musketeers, The",1973,Adventure
31923,"Three Musketeers, The",1973,Comedy
284601,Uman – The Perfect Man,2022,Comedy
27746,Ginger Snaps: Unleashed,2004,Horror
27746,Ginger Snaps: Unleashed,2004,Thriller
126044,Brutal Relax,2010,Action
126044,Brutal Relax,2010,Comedy
108313,Dirty Pictures,2000,Drama
74857,Strategic Air Command,1955,Action
74857,Strategic Air Command,1955,Drama
210481,When the Greeks,1981,Adventure
210481,When the Greeks,1981,Drama
210481,When the Greeks,1981,War
230547,Easter Under Wraps,2019,Romance
168816,Different Drummers,2013,Children
168816,Different Drummers,2013,Drama
258573,Woodlands Dark and Days Bewitched: A History of Folk Horror,2021,Documentary
270746,The Privilege,2022,Horror
227086,Eva,1948,Drama
85278,"City of Your Final Destination, The",2009,Drama
123900,Safari 3000,1982,Action
73664,Dragon Hunters (Chasseurs de dragons),2008,Adventure
73664,Dragon Hunters (Chasseurs de dragons),2008,Animation
73664,Dragon Hunters (Chasseurs de dragons),2008,Children
74141,"Holy Innocents, The (Santos inocentes, Los)",1984,Drama
117344,Ragnarok,2013,Action
117344,Ragnarok,2013,Adventure
76147,I Hate Valentine's Day,2009,Comedy
76147,I Hate Valentine's Day,2009,Romance
278286,Fuchzhou,1993,Adventure
278286,Fuchzhou,1993,Comedy
278286,Fuchzhou,1993,Romance
258571,The Righteous,2021,Drama
258571,The Righteous,2021,Horror
158723,Pom Pom,1984,Action
158723,Pom Pom,1984,Comedy
145448,Simone e Matteo: un gioco da ragazzi,1975,Comedy
287223,"Up, Down and Sideways",1992,Comedy
91071,"Late George Apley, The",1947,Comedy
138362,A Special Day,2012,Drama
198133,Road to Life,1931,Drama
289115,Bunty Aur Babli 2,2021,Comedy
289115,Bunty Aur Babli 2,2021,Crime
289115,Bunty Aur Babli 2,2021,Drama
158992,The Captive City,1952,Action
158992,The Captive City,1952,Drama
164532,Crossing Point,2016,Action
164532,Crossing Point,2016,Thriller
282117,The Wish Tree,2008,Comedy
282117,The Wish Tree,2008,Drama
254504,First Fall,2013,Animation
254504,First Fall,2013,Drama
254504,First Fall,2013,Fantasy
276035,Zwei Nasen tanken Super,1984,Comedy
168314,Be My Cat: A Film for Anne,2015,Horror
168314,Be My Cat: A Film for Anne,2015,Thriller
150134,Sous le signe de Monte Cristo,1968,Adventure
130634,Furious 7,2015,Action
130634,Furious 7,2015,Crime
130634,Furious 7,2015,Thriller
223432,You Die,2018,Drama
223432,You Die,2018,Horror
223432,You Die,2018,Thriller
164945,Brother Nature,2016,Comedy
160934,El Extra,1962,Comedy
173531,Recon 2020:  The Caprini Massacre,2004,Action
173531,Recon 2020:  The Caprini Massacre,2004,Sci-Fi
207952,Getting Played,2005,Comedy
207952,Getting Played,2005,Romance
76736,Grim Reaper,2007,Horror
278596,From Subway with Love,2005,Comedy
278596,From Subway with Love,2005,Romance
181937,Clown of the Jungle,1947,Animation
126030,Isabelle au bois dormant,2007,Animation
126030,Isabelle au bois dormant,2007,Comedy
141554,Disappearing Acts,2000,Drama
141554,Disappearing Acts,2000,Romance
417,Barcelona,1994,Comedy
417,Barcelona,1994,Romance
44949,Hoot,2006,Children
44949,Hoot,2006,Comedy
175003,How to Go Out on a Date in Queens,2006,Comedy
175003,How to Go Out on a Date in Queens,2006,Romance
136210,American Animal,2012,Comedy
136210,American Animal,2012,Drama
244036,Battlestar Galactica: The Lowdown,2003,Action
244036,Battlestar Galactica: The Lowdown,2003,Adventure
244036,Battlestar Galactica: The Lowdown,2003,Drama
244036,Battlestar Galactica: The Lowdown,2003,Sci-Fi
78132,The Tomb,2009,Horror
78132,The Tomb,2009,Thriller
124731,Just My Luck,1957,Comedy
269490,The Kindred,2021,Horror
269490,The Kindred,2021,Mystery
269490,The Kindred,2021,Thriller
166034,The Optimists of Nine Elms,1973,Drama
6722,Once Upon a Time in China II (Wong Fei-hung Ji Yi: Naam yi dong ji keung),1992,Action
6722,Once Upon a Time in China II (Wong Fei-hung Ji Yi: Naam yi dong ji keung),1992,Romance
195149,Ronnie Coleman: The King,2018,Documentary
186223,The Executioners,2018,Horror
186223,The Executioners,2018,Thriller
234111,Muscle,2020,Thriller
183779,The Passion,2010,Comedy
174181,The Keepers,2017,Crime
174181,The Keepers,2017,Documentary
174181,The Keepers,2017,Drama
138312,Flowerman,2014,Drama
138312,Flowerman,2014,Romance
138312,Flowerman,2014,Thriller
214158,Tarts and Flowers,1950,Animation
140016,Always Watching: A Marble Hornets Story,2015,Horror
222759,The 24th,2020,Drama
272473,Australia Day,2017,Crime
272473,Australia Day,2017,Drama
191905,Budapest Tales,1977,Drama
100719,Fake It So Real,2012,Documentary
170777,There Once Was a Dog,1982,Animation
170777,There Once Was a Dog,1982,Children
170777,There Once Was a Dog,1982,Comedy
218249,Gulabo Sitabo,2020,Comedy
218249,Gulabo Sitabo,2020,Drama
2376,"View to a Kill, A",1985,Action
2376,"View to a Kill, A",1985,Adventure
2376,"View to a Kill, A",1985,Thriller
199990,The White City,2014,Drama
281816,Wildcat,2022,Documentary
188571,Adam Chaplin,2011,Horror
140062,The Devil's Eight,1969,Crime
140062,The Devil's Eight,1969,Drama
140062,The Devil's Eight,1969,Thriller
209359,Among the Shadows,2019,Crime
209359,Among the Shadows,2019,Horror
209359,Among the Shadows,2019,Thriller
8495,Animal Factory,2000,Crime
8495,Animal Factory,2000,Drama
269240,45 Days: The Fight for a Nation,2021,Documentary
123673,The Rose Garden,1990,Drama
251836,Third Party Risk,1954,Crime
251836,Third Party Risk,1954,Drama
210771,Encounter,2016,Horror
128966,Gamera vs. Zigra,1971,Action
128966,Gamera vs. Zigra,1971,Adventure
128966,Gamera vs. Zigra,1971,Sci-Fi
188753,Unfriended: Dark Web,2018,Horror
104526,So It Goes (Korsoteoria),2012,Drama
215615,Pink Floyd: Pulse,1995,Documentary
114961,Waiting for the Sea (V ozhidanii morya),2012,Fantasy
207159,Poinsettias for Christmas,2018,Romance
